area,source,issue,decision,status
Maths Year 3,Math\Year 3\Y3T2M13 Fractions 4,Y3M14 collision,Use Y3M40 for Fractions 4,CONFIRMED_PHASE11_ID
Maths Level 1 / Year 4,Math\L1\L1T1M01 Transition to Level 1,Transition source folder had no numeric legacy ID.,Use Y4M36,CONFIRMED_PHASE11_ID
Maths Year 6 Extra,Math\Year 6\Y6T1M17 Ratio and Proportion 1,Ratio and Proportion 1 duplicates the canonical Level 3 title/old ID in a separate Year 6 position.,Use canonical Y6M46; retain student alias Y6T1M17.,CONFIRMED_PHASE11_ID
Maths Year 6 Extra,Math\Year 6\Y6T1M18 Ratio and Proportion 2,Ratio and Proportion 2 duplicates the canonical Level 3 title/old ID in a separate Year 6 position.,Use canonical Y6M47; retain student alias Y6T1M18.,CONFIRMED_PHASE11_ID
Maths Year 6 Extra,Math\Year 6\Y6T1M19 Ratio and Proportion 3,Ratio and Proportion 3 duplicates the canonical Level 3 title/old ID in a separate Year 6 position.,Use canonical Y6M48; retain student alias Y6T1M19.,CONFIRMED_PHASE11_ID
Maths Year 6 Extra,Math\Year 6\Y6T1M20 Ratio and Proportion 4,Ratio and Proportion 4 duplicates the canonical Level 3 title/old ID in a separate Year 6 position.,Use canonical Y6M49; retain student alias Y6T1M20.,CONFIRMED_PHASE11_ID
Maths Year 6 Extra,Math\Year 6\Y6T1M21 Ratio and Proportion 5,Ratio and Proportion 5 duplicates the canonical Level 3 title/old ID in a separate Year 6 position.,Use canonical Y6M50; retain student alias Y6T1M21.,CONFIRMED_PHASE11_ID
Maths Year 6 SATs,Math\Year 6\SATS\Y6M1 SATs Preparation Measurement,Student-facing alias Y6M1 collides with existing core historical ID space.,Use canonical Y6M51; keep Y6M1 only as student-facing alias.,CONFIRMED_PHASE11_ID
Maths Year 6 SATs,Math\Year 6\SATS\Y6M2 SATs Preparation Measurement & Addition Subtraction,Student-facing alias Y6M2 collides with existing core historical ID space.,Use canonical Y6M52; keep Y6M2 only as student-facing alias.,CONFIRMED_PHASE11_ID
Maths Year 6 SATs,Math\Year 6\SATS\Y6M3 SATs Preparation Algebra,Student-facing alias Y6M3 collides with existing core historical ID space.,Use canonical Y6M53; keep Y6M3 only as student-facing alias.,CONFIRMED_PHASE11_ID
Maths Year 6 SATs,Math\Year 6\SATS\Y6M4 SATs Preparation Fractions Decimals and Percentage,Student-facing alias Y6M4 collides with existing core historical ID space.,Use canonical Y6M54; keep Y6M4 only as student-facing alias.,CONFIRMED_PHASE11_ID
Maths Year 6 SATs,Math\Year 6\SATS\Y6M5 SATs Preparation Multiplication and Division,Student-facing alias Y6M5 collides with existing core historical ID space.,Use canonical Y6M55; keep Y6M5 only as student-facing alias.,CONFIRMED_PHASE11_ID
Maths Year 6 SATs,Math\Year 6\SATS\Y6M6 SATs Preparation Number and Place Value,Student-facing alias Y6M6 collides with existing core historical ID space.,Use canonical Y6M56; keep Y6M6 only as student-facing alias.,CONFIRMED_PHASE11_ID
Maths Year 6 SATs,Math\Year 6\SATS\Y6M7 SATs Preparation Position and Direction,Student-facing alias Y6M7 collides with existing core historical ID space.,Use canonical Y6M57; keep Y6M7 only as student-facing alias.,CONFIRMED_PHASE11_ID
Maths Year 6 SATs,Math\Year 6\SATS\Y6M8 SATs Preparation Properties of Shape,Student-facing alias Y6M8 collides with existing core historical ID space.,Use canonical Y6M58; keep Y6M8 only as student-facing alias.,CONFIRMED_PHASE11_ID
Maths Year 6 SATs,Math\Year 6\SATS\Y6M9 SATs Preparation Ratio and Proportion,Student-facing alias Y6M9 collides with existing core historical ID space.,Use canonical Y6M59; keep Y6M9 only as student-facing alias.,CONFIRMED_PHASE11_ID
Maths Year 6 SATs,Math\Year 6\SATS\Y6M10 SATs Preparation Statistics,Student-facing alias Y6M10 collides with existing core historical ID space.,Use canonical Y6M60; keep Y6M10 only as student-facing alias.,CONFIRMED_PHASE11_ID
Maths Year 6 SATs,Math\Year 6\SATS\Y6M11 SATs Intensive Practice 1,Student-facing alias Y6M11 collides with existing core historical ID space.,Use canonical Y6M61; keep Y6M11 only as student-facing alias.,CONFIRMED_PHASE11_ID
Maths Year 6 SATs,Math\Year 6\SATS\Y6M12 SATs Intensive Practice 2,Student-facing alias Y6M12 collides with existing core historical ID space.,Use canonical Y6M62; keep Y6M12 only as student-facing alias.,CONFIRMED_PHASE11_ID
Maths Year 6 SATs,Math\Year 6\SATS\Y6M13 SATs Intensive Practice 3,Student-facing alias Y6M13 collides with existing core historical ID space.,Use canonical Y6M63; keep Y6M13 only as student-facing alias.,CONFIRMED_PHASE11_ID
Maths Year 6 SATs,Math\Year 6\SATS\Y6M14 SATs Revision,Student-facing alias Y6M14 collides with existing core historical ID space.,Use canonical Y6M64; keep Y6M14 only as student-facing alias.,CONFIRMED_PHASE11_ID
Maths Year 6 SATs,Math\Year 6\SATS\Y6M15 SATs Practice 1,Student-facing alias Y6M15 collides with existing core historical ID space.,Use canonical Y6M65; keep Y6M15 only as student-facing alias.,CONFIRMED_PHASE11_ID
Maths Year 6 SATs,Math\Year 6\SATS\Y6M16 SATs Practice 2,Student-facing alias Y6M16 collides with existing core historical ID space.,Use canonical Y6M66; keep Y6M16 only as student-facing alias.,CONFIRMED_PHASE11_ID
Maths Year 6 SATs,Math\Year 6\SATS\Y6M17 SATs Practice 3,Student-facing alias Y6M17 collides with existing core historical ID space.,Use canonical Y6M67; keep Y6M17 only as student-facing alias.,CONFIRMED_PHASE11_ID
Maths Year 6 SATs,Math\Year 6\SATS\Y6M18 SATs Reasoning Focus,Student-facing alias Y6M18 collides with existing core historical ID space.,Use canonical Y6M68; keep Y6M18 only as student-facing alias.,CONFIRMED_PHASE11_ID
Maths Year 6 SATs,Math\Year 6\SATS\Y6M19 End of SATs Games,Student-facing alias Y6M19 collides with existing core historical ID space.,Use canonical Y6M69; keep Y6M19 only as student-facing alias.,CONFIRMED_PHASE11_ID
English Year 5,C:\Rubbish\Lessons\English\Year 5\T3\Y5E31 Creative Writing Writing the Dilemma,Normal core Y5E31 has no matching current consolidated Year 5 11+ source folder.,Keep canonical Y5E31; normal alias Y5T3E28; reserve 11+ alias Y5T3EE28; attach the confirmed 11+ supplement as a presentation component.,CONFIRMED_PHASE11_COMPONENT_MODEL
English Year 5 11+ supplement,English\Year 5 - 11+\Y5T3EE28 Lesson 1 11+ Creative Writing Upleveling Sentences,Supplementary folder has no normal-core counterpart.,Attach to Y5E31 without creating a new entitlement.,CONFIRMED_PHASE11_COMPONENT_ANCHOR
English Year 5 11+ supplement,English\Year 5 - 11+\Y5T3EE30 Lesson 2 11+ Creative Writing Suspense and Thrillers,Supplementary folder has no normal-core counterpart.,Attach to Y5E34 without creating a new entitlement.,CONFIRMED_PHASE11_COMPONENT_ANCHOR
English Year 5 11+ supplement,English\Year 5 - 11+\Y5T3EE32 Lesson 3 11+ Creative Writing Character Descriptions and Recounting,Supplementary folder has no normal-core counterpart.,Attach to Y5E37 without creating a new entitlement.,CONFIRMED_PHASE11_COMPONENT_ANCHOR
English Year 5 11+ supplement,English\Year 5 - 11+\Y5T3EE33 Lesson 4 11+ Creative Writing Experimenting with Similes and Metaphors,Supplementary folder has no normal-core counterpart.,Attach to Y5E37 without creating a new entitlement.,CONFIRMED_PHASE11_COMPONENT_ANCHOR
English Year 5 11+ supplement,English\Year 5 - 11+\Y5T3EE35 Reading Comprehension 1 Non 11+,Supplementary folder has no normal-core counterpart.,Attach to Y5E39 without creating a new entitlement.,CONFIRMED_PHASE11_COMPONENT_ANCHOR
English Year 6,English\Year 6\Y6T2E14 SATs Preparation Grammatical Terms & Word Classes,Two distinct lessons historically use Y6E14.,Keep Subjunctive and Modal as Y6E14; use Y6E33 for SATs Preparation Grammatical Terms & Word Classes.,CONFIRMED_PHASE11_ID
